,Province,Temperature,Oxygen,Humidity,Vegetation_Type,Drought_Index,Fire_Seasonality,Land_Use,Target
657,Ontario,-0.710738537,20.24415839,36.29170539,Shrubland,19.96083921,Spring,Agricultural,Low Risk
309,Saskatchewan,4.714993533,19.86834216,51.32481734,Shrubland,605.2511581,Summer,,Medium Risk
709,,17.22876054,,99.8250675,Wetland,,Fall,Agricultural,High Risk
275,,-4.026934167,19.12608336,39.98680767,Forest,329.5201361,Winter,,High Risk
894,British Columbia,20.42516706,,75.80069824,Wetland,73.09307414,,Industrial,No Fire
165,Alberta,6.482249815,20.18592632,74.68029573,Shrubland,759.9588896,Spring,Commercial,High Risk
513,Nova Scotia,33.44741176,20.53299029,97.89750781,,434.5786882,Fall,Commercial,No Fire
33,Quebec,33.99288996,,85.24800975,Forest,21.68116785,Spring,Agricultural,High Risk
31,Ontario,26.48005427,19.76594883,80.40571404,Forest,588.545619,Fall,Industrial,No Fire
673,British Columbia,29.34333711,20.51974572,56.0368127,Wetland,283.1328601,Winter,,Medium Risk
404,Manitoba,15.93583423,19.61826728,53.12984556,Forest,,Spring,Residential,Medium Risk
518,Prince Edward Island,,,79.87717121,Grassland,237.7135316,Fall,Commercial,No Fire
430,Alberta,-7.503416495,19.98105643,40.92842805,Forest,299.3748996,Winter,,No Fire
109,British Columbia,13.11635353,,60.39703248,Wetland,601.5188554,Summer,Residential,Low Risk
77,Saskatchewan,34.53922008,20.98266093,44.83783223,Forest,523.6363025,Fall,Residential,High Risk
412,Manitoba,25.37633643,,24.98028856,Grassland,45.31781931,Spring,Industrial,Medium Risk
312,Alberta,-6.140357462,20.64442828,57.86909858,Forest,93.87754203,Summer,Industrial,Low Risk
82,New Brunswick,9.947703689,19.80007055,17.28365463,,,Fall,Agricultural,High Risk
321,,-0.888037791,20.77947877,43.60003166,Shrubland,398.5155413,Fall,Commercial,Medium Risk
649,Prince Edward Island,22.90377931,20.0712193,31.63891131,Grassland,442.1874527,Summer,Industrial,High Risk
693,British Columbia,2.570788141,20.58108406,83.8955569,Forest,489.350729,Fall,Residential,Low Risk
360,Alberta,13.69884921,19.78424521,71.58724185,Forest,188.2925029,Winter,Residential,No Fire
487,,7.919223561,20.50687231,75.93156642,Shrubland,,Spring,Commercial,Medium Risk
464,,32.34848265,,37.36321168,,284.105755,Fall,Agricultural,Medium Risk
5,Quebec,1.908734032,19.2565321,77.44348421,Shrubland,205.998231,Fall,Residential,High Risk
54,Prince Edward Island,9.080831586,19.88717454,36.75787894,Wetland,704.4122899,Summer,Industrial,No Fire
734,Prince Edward Island,,19.08355211,17.6081044,Forest,431.4137511,Spring,Residential,Low Risk
462,Quebec,27.28040898,,12.56295154,Grassland,678.2917017,Spring,,High Risk
323,Quebec,32.87363493,20.27331707,37.6443269,Shrubland,356.7482251,Spring,,Low Risk
367,Manitoba,24.27396231,19.39905754,22.53129004,Forest,624.0967216,Summer,Agricultural,Medium Risk
97,Nova Scotia,12.90313766,19.5205059,92.89498066,Grassland,382.8765514,Fall,Industrial,No Fire
444,Prince Edward Island,10.92664849,19.79753478,43.39610302,Grassland,384.8544303,Fall,Industrial,Low Risk
576,Alberta,20.90576966,,56.28277229,Wetland,74.32218059,Summer,Residential,Medium Risk
897,Manitoba,-6.492277449,20.00676281,67.96964048,Forest,99.42588666,Winter,Residential,Low Risk
578,Alberta,,20.31918062,59.03186918,Forest,138.4248345,Fall,Residential,No Fire
779,Manitoba,23.18999017,,86.7178453,Grassland,641.3877012,Winter,Commercial,Medium Risk
25,Newfoundland and Labrador,4.950455922,20.74681732,95.40748115,Shrubland,755.5585301,,Residential,Medium Risk
84,Alberta,0.067087876,19.30827869,58.41002898,Forest,,Winter,Industrial,No Fire
