Province,Temperature,Oxygen,Humidity,Vegetation_Type,Drought_Index,Fire_Seasonality,Land_Use,Target
Alberta,17.87671753,19.12337066,50.55365923,,718.8575072,Summer,Commercial,
New Brunswick,32.39206922,20.68660009,28.94243504,Forest,231.6563982,Fall,Commercial,
Prince Edward Island,16.22878104,19.09803799,82.64774573,Grassland,239.3217292,Summer,,
Newfoundland and Labrador,23.50611051,20.01017745,63.71608143,Forest,109.1800109,,Commercial,
Saskatchewan,14.2121649,20.4700784,,Wetland,631.4865563,Spring,Industrial,
Prince Edward Island,-8.085679777,20.15145512,43.89812051,Shrubland,,,Commercial,
Saskatchewan,,19.18066445,,Grassland,519.9355133,Fall,Commercial,
Quebec,24.12388335,20.9659897,41.29656414,Wetland,144.5493735,Summer,Industrial,
Quebec,29.15626609,19.34325686,29.86221517,Grassland,486.4272312,Summer,Commercial,
Prince Edward Island,30.4910701,19.54084579,26.90187296,Shrubland,539.2149443,Fall,,
,,20.05880197,29.02766458,Forest,464.3094197,Summer,Commercial,
Ontario,3.932385704,20.94613139,46.60148547,Forest,132.5509795,Fall,Industrial,
British Columbia,,20.21678077,37.78243118,,470.7548304,,Residential,
Alberta,25.21147845,20.51997252,46.3024054,Forest,296.6059696,Fall,Commercial,
Quebec,,19.54179115,39.52067976,Shrubland,672.5419035,Summer,Commercial,
Alberta,,19.74526729,78.3942456,Wetland,402.2810427,Spring,Residential,
New Brunswick,23.97480601,20.629674,47.31459718,Forest,336.2094356,Fall,Agricultural,
,31.52479728,19.42056705,23.98333602,Shrubland,468.7482703,Fall,Commercial,
,,19.35904596,82.46783074,Wetland,318.1577465,Winter,Industrial,
Newfoundland and Labrador,29.24772603,,20.45034243,Shrubland,343.1232443,Winter,Residential,
Saskatchewan,-0.077862285,19.24435403,99.91270077,Forest,20.0402203,Summer,Industrial,
Alberta,17.69660151,19.74741236,91.23239545,Forest,440.6362759,Summer,Agricultural,
Saskatchewan,,20.05981442,92.40905757,Wetland,311.8021316,Spring,,
Prince Edward Island,11.01358077,19.75645562,55.0010854,Forest,282.4987495,Winter,Commercial,
New Brunswick,-1.048140783,19.93810401,,Wetland,195.3185893,Spring,Agricultural,
Prince Edward Island,-0.396595013,19.32528272,29.25830305,Shrubland,686.5333073,Summer,Agricultural,
New Brunswick,30.04708007,19.69666711,91.22934668,Grassland,337.4297983,Summer,Residential,
Ontario,1.356485498,20.64064119,85.3043982,,518.8455344,Spring,Commercial,
Saskatchewan,-9.538916554,19.81970941,,Forest,36.25159294,Winter,Residential,
Prince Edward Island,,20.11292808,41.03029512,Shrubland,,Fall,Agricultural,
New Brunswick,-4.232313966,19.2981038,45.34381011,Shrubland,248.5324115,,Agricultural,
,14.08264271,20.2234408,60.35128072,Forest,80.3434479,Fall,Industrial,
,1.104813494,20.67241823,,Grassland,575.4751715,Fall,Commercial,
Prince Edward Island,23.01649846,19.91770103,,Wetland,224.9482548,Spring,Industrial,
New Brunswick,-7.390116624,20.80899675,60.62872702,Wetland,210.0370182,Summer,Agricultural,
,14.1758466,,,Shrubland,613.3947624,Summer,Agricultural,
Alberta,6.980464582,20.89691994,69.92782557,Grassland,760.4901378,Fall,Industrial,
Ontario,-5.903347304,19.58293526,29.50261479,Grassland,725.6442431,Summer,Agricultural,
New Brunswick,-7.35681895,19.50896054,40.55631812,Shrubland,676.3591488,Fall,Residential,
Quebec,10.40679386,19.44858899,46.83425297,Forest,99.00081827,,Agricultural,
Quebec,17.36262899,20.15881032,,Wetland,309.6504173,Fall,Residential,
Ontario,-8.220327414,20.35969172,41.76129049,Grassland,660.9575175,Winter,Industrial,
,16.45255656,20.08762966,68.58012277,Shrubland,625.0957399,,Agricultural,
Nova Scotia,19.55176814,,70.48822284,Grassland,240.1280171,Fall,Agricultural,
Saskatchewan,23.67384152,19.21392878,12.13460366,Wetland,480.6248813,Summer,Agricultural,
Prince Edward Island,-6.404595253,20.46133807,69.42632909,Forest,779.858436,Winter,Industrial,
Alberta,23.98818068,20.80875056,38.67375629,Grassland,436.5415603,Winter,Industrial,
Manitoba,24.25450035,20.95672238,31.58726721,Shrubland,368.6806218,Spring,Commercial,
Newfoundland and Labrador,34.39502006,20.63866935,39.43599701,Grassland,568.9711642,Summer,Industrial,
Newfoundland and Labrador,24.6178984,19.39861021,63.90885852,Wetland,406.1463372,Fall,Industrial,
Newfoundland and Labrador,22.77548742,20.4460897,68.72268472,Grassland,40.5328986,Spring,Residential,
Saskatchewan,4.951846928,20.60061121,28.53153127,Shrubland,266.635231,Summer,Industrial,
New Brunswick,2.538259295,,19.35295172,Shrubland,103.8871285,Winter,Residential,
Prince Edward Island,30.74278595,19.1956035,91.45938974,Shrubland,386.5223136,Fall,Residential,
,26.33455776,19.86775558,,,,Winter,Agricultural,
