Province,Vegetation_Type,Fire_Seasonality,Land_Use,Temperature,Oxygen,Humidity,Drought_Index
British Columbia,Forest,Fall,Agricultural,32.16010226,20.66422926,84.21442636,88.92889871
Prince Edward Island,Forest,Spring,Industrial,15.30201913,19.09587298,49.64667885,394.28
Saskatchewan,Forest,Fall,Residential,18.4571419,20.36213657,76.78844198,398.5417073
Ontario,Forest,Winter,Industrial,20.64680293,19.44563567,63.72036894,13.57954341
Alberta,Shrubland,Summer,Industrial,14.28323555,19.58234209,54.90220755,394.28
Saskatchewan,Shrubland,Fall,Commercial,32.37232795,20.1625662,52.68317211,5.417616356
Alberta,Shrubland,Summer,Residential,28.75125049,19.50930476,81.28823483,158.8143396
Prince Edward Island,Wetland,Spring,Residential,-3.420549648,19.33158005,87.03341551,394.28
Saskatchewan,Shrubland,Fall,Industrial,10.47219412,19.10453903,30.31265038,399.1055701
Prince Edward Island,Forest,Fall,Industrial,-0.544052216,20.49690096,84.8653473,278.3401306
Nova Scotia,Shrubland,Winter,Agricultural,-9.68460896,20.13502611,20.06989565,126.4987345
Saskatchewan,Forest,Summer,Industrial,29.81028735,20.49447752,12.40129591,23.95507977
Ontario,Forest,Summer,Residential,21.71273995,19.04164552,68.24798517,761.2371789
Alberta,Grassland,Fall,Residential,8.813709968,19.50578226,60.83881187,102.596298
Saskatchewan,Shrubland,Summer,Residential,31.066788,19.75769116,53.80047371,482.2804123
Manitoba,Forest,Summer,Agricultural,17.57602928,19.12014331,35.15685808,511.5752809
Nova Scotia,Grassland,Spring,Residential,24.24189542,20.2968522,56.07,49.63259475
Newfoundland and Labrador,Forest,Summer,Industrial,-8.482072402,20.43276113,91.42260586,347.4794956
Newfoundland and Labrador,Forest,Spring,Industrial,4.825506713,19.71155756,99.1699897,702.7572322
Quebec,Grassland,Spring,Industrial,27.07960348,20.32143065,31.65173286,239.6628245
Manitoba,Grassland,Summer,Industrial,-2.050375906,19.78685139,19.84687271,493.9361525
Quebec,Forest,Fall,Industrial,32.2467606,20.9407527,23.90248151,568.9196953
Nova Scotia,Grassland,Spring,Industrial,31.45532255,19.70222881,61.48255617,504.9607579
Saskatchewan,Shrubland,Winter,Commercial,22.95574192,19.99264667,56.07,394.28
Manitoba,Forest,Winter,Residential,1.071421975,20.94410432,73.92422386,29.29401348
Saskatchewan,Forest,Fall,Residential,30.45255473,20.87280098,28.80987738,783.5031663
Newfoundland and Labrador,Forest,Winter,Industrial,19.49950402,19.51982016,14.89981786,562.4782229
Alberta,Wetland,Spring,Residential,11.88415759,20.8293269,68.55133163,195.1057858
Prince Edward Island,Grassland,Spring,Industrial,33.28101597,19.1120254,91.02430066,411.5859725
British Columbia,Forest,Fall,Commercial,16.02231495,20.83104417,87.9207632,0.100898554
Saskatchewan,Forest,Fall,Industrial,30.90525363,19.60223385,54.34472039,672.0943268
Saskatchewan,Forest,Spring,Industrial,-0.046933872,19.11475865,24.91631186,298.8130172
Nova Scotia,Wetland,Winter,Industrial,-6.125873925,20.9890312,30.68439831,464.2922495
Saskatchewan,Shrubland,Summer,Industrial,31.59716936,19.48101812,59.35761607,643.3627022
Manitoba,Shrubland,Spring,Commercial,19.19334604,19.0567969,56.07,394.8394337
Manitoba,Grassland,Winter,Industrial,28.43200261,19.58378681,17.34326639,394.28
Manitoba,Shrubland,Spring,Industrial,-5.920853866,20.1095607,56.07,518.4692853
New Brunswick,Shrubland,Winter,Commercial,6.830224337,19.49287427,97.73882199,538.6169163
Saskatchewan,Shrubland,Spring,Commercial,-4.677857788,19.09005557,77.94328108,555.2972488
Nova Scotia,Shrubland,Spring,Commercial,10.09444552,19.00470986,35.71687891,753.9697387
Nova Scotia,Forest,Summer,Industrial,12.94,19.00561578,12.81530039,572.6363002
Saskatchewan,Forest,Spring,Residential,19.5740693,19.70515742,58.27419278,234.3138125
Prince Edward Island,Grassland,Fall,Agricultural,14.90360875,20.93831216,94.64424282,147.6720445
Alberta,Shrubland,Spring,Industrial,9.241501353,19.4565183,62.95991643,387.4019074
Ontario,Forest,Winter,Industrial,26.24370939,19.91606379,49.69594977,160.6394074
Quebec,Forest,Spring,Industrial,12.94,19.99,42.07353572,450.5684803
Nova Scotia,Grassland,Fall,Agricultural,24.5643469,19.99,56.07,4.689672499
Saskatchewan,Wetland,Winter,Industrial,9.222662136,20.49992445,33.81940976,7.889809431
Saskatchewan,Wetland,Fall,Agricultural,-9.625771423,19.5651018,56.07,210.3699005
Prince Edward Island,Shrubland,Summer,Industrial,-1.644370421,20.60657198,71.58130859,394.28
Alberta,Shrubland,Fall,Agricultural,-9.964403605,19.18981323,56.07,62.07447143
New Brunswick,Forest,Fall,Industrial,17.14314026,20.28933637,11.12993808,653.814785
Manitoba,Grassland,Winter,Commercial,12.94,19.99,92.04109829,124.4284984
New Brunswick,Wetland,Summer,Industrial,12.94,19.30848867,26.11889667,394.28
Manitoba,Shrubland,Fall,Commercial,3.40857883,20.03341634,43.34395547,426.0092856
Quebec,Wetland,Fall,Industrial,0.041588002,19.3484326,74.5994048,648.5017448
Newfoundland and Labrador,Wetland,Fall,Commercial,26.20068446,19.41023787,92.82878342,8.406392274
Nova Scotia,Shrubland,Winter,Residential,0.457253471,19.7908236,54.7993656,171.4076806
Quebec,Grassland,Summer,Commercial,15.982312,19.92878426,59.69807767,297.6771124
Prince Edward Island,Forest,Summer,Industrial,4.468608221,20.26807929,76.90382459,467.8454506
Newfoundland and Labrador,Forest,Winter,Commercial,20.53707143,19.99,68.48495774,87.79925429
Prince Edward Island,Forest,Summer,Industrial,17.79718387,19.97097761,56.88942559,282.4527685
Alberta,Forest,Fall,Industrial,26.47473948,20.92926972,21.88701282,778.3837151
Newfoundland and Labrador,Forest,Winter,Agricultural,-8.040665204,20.28188919,76.72788449,394.28
New Brunswick,Shrubland,Summer,Industrial,25.182621,20.3917968,97.65782578,115.1592507
Saskatchewan,Forest,Spring,Industrial,7.591419411,20.71830748,87.21561059,164.9918832
Saskatchewan,Grassland,Winter,Commercial,31.4381168,19.38102964,89.01557285,154.5768279
Quebec,Forest,Summer,Commercial,12.94,19.99,49.27272965,101.7858135
Nova Scotia,Forest,Winter,Industrial,3.421113782,19.36816452,19.95951709,439.2148346
British Columbia,Forest,Spring,Residential,9.317217287,19.4409477,40.87210548,119.0628693
Saskatchewan,Grassland,Winter,Industrial,7.59158715,20.18851786,71.11261264,394.28
Manitoba,Shrubland,Fall,Residential,-2.552160006,20.72487506,12.00558243,313.5973985
Nova Scotia,Shrubland,Winter,Commercial,20.75713603,19.50150972,27.10003809,784.8712416
Quebec,Grassland,Spring,Commercial,19.37960647,20.54935746,93.28895587,7.870312594
Ontario,Forest,Fall,Residential,0.923132169,20.58680594,56.07,89.89864923
Prince Edward Island,Shrubland,Spring,Agricultural,-2.266147109,19.72151852,81.79608391,91.1341985
Nova Scotia,Grassland,Fall,Agricultural,23.02469384,20.84617555,80.12290606,689.559501
Saskatchewan,Forest,Spring,Agricultural,16.9958272,19.56060433,12.8990728,663.3181278
Ontario,Shrubland,Spring,Residential,-7.701418104,19.26225003,56.07,452.1739089
Quebec,Wetland,Winter,Commercial,3.896562806,19.16806126,98.12794142,394.28
Nova Scotia,Forest,Fall,Industrial,12.94,20.7791455,36.13637411,497.1007907
Quebec,Wetland,Summer,Commercial,12.94,19.67216366,34.38930798,276.5570852
Quebec,Forest,Spring,Industrial,13.35950342,19.34770655,26.80358005,394.28
Manitoba,Wetland,Fall,Commercial,-6.140070186,19.40761797,51.40286077,697.2400815
Saskatchewan,Grassland,Winter,Industrial,25.31092788,19.99,37.51847165,169.7378289
Alberta,Forest,Fall,Industrial,12.88536431,20.57747769,81.83396528,394.28
Alberta,Wetland,Spring,Residential,-7.645636116,19.99,96.91710932,390.395376
British Columbia,Shrubland,Winter,Agricultural,34.97760377,19.99,85.60925274,394.28
Newfoundland and Labrador,Forest,Summer,Industrial,28.75064022,19.07240307,25.61603639,405.0591006
Quebec,Grassland,Winter,Commercial,8.031544283,19.40478874,33.89412806,799.5941485
Manitoba,Wetland,Spring,Agricultural,1.423124171,19.27198433,77.01423983,103.5130123
Nova Scotia,Wetland,Spring,Agricultural,13.5988559,19.52887863,32.47165236,132.8898959
British Columbia,Shrubland,Summer,Residential,34.67402039,20.86001998,78.77900975,543.6541448
Ontario,Forest,Fall,Residential,22.00680058,20.01303848,26.90229879,602.7394453
Manitoba,Forest,Fall,Commercial,22.40903757,20.50018644,39.33080184,152.6635765
New Brunswick,Forest,Summer,Agricultural,22.23706853,20.4374133,61.16298562,394.28
Nova Scotia,Forest,Fall,Agricultural,30.12301588,19.89923642,83.74829487,18.77955633
Prince Edward Island,Forest,Winter,Industrial,-2.271447033,20.14141577,56.07,16.57213886
Saskatchewan,Grassland,Winter,Industrial,24.13262967,19.70423108,84.11719734,722.4596921
Ontario,Forest,Spring,Agricultural,23.90789418,20.09537857,14.14476345,2.572945174
Saskatchewan,Wetland,Summer,Industrial,24.37342499,19.58793137,78.79584249,550.830252
Saskatchewan,Wetland,Winter,Agricultural,21.03256959,19.26751777,89.13996636,685.7536004
Saskatchewan,Wetland,Spring,Commercial,33.01455573,20.53029041,58.6703213,290.007033
Saskatchewan,Shrubland,Fall,Agricultural,-2.503592758,20.83499222,67.95585067,488.0162039
Alberta,Shrubland,Fall,Commercial,12.94,19.01379992,65.19420779,115.6173134
Prince Edward Island,Grassland,Winter,Industrial,-3.786901076,19.94481471,71.15878643,104.5862246
New Brunswick,Grassland,Fall,Industrial,4.223288201,20.36615912,64.03456821,608.8420248
Manitoba,Grassland,Fall,Industrial,10.89559091,19.79871241,63.7801018,477.7099921
British Columbia,Forest,Fall,Agricultural,22.44496002,20.36935687,79.76436805,596.8602413
Quebec,Forest,Fall,Residential,-7.411425194,19.96190196,56.07,784.948049
Newfoundland and Labrador,Shrubland,Winter,Agricultural,-5.695841256,19.95365922,45.98240581,736.1581466
Manitoba,Forest,Winter,Agricultural,4.690552469,19.13525256,49.39122904,698.0546713
Ontario,Forest,Winter,Industrial,-9.329553356,20.31585785,51.60419867,413.8548769
Manitoba,Shrubland,Spring,Agricultural,32.47961292,20.27398063,38.46411511,140.4897556
Prince Edward Island,Forest,Winter,Agricultural,1.926282711,19.48548557,27.54290216,576.1332059
Nova Scotia,Wetland,Summer,Residential,29.31453608,20.50964441,90.89022878,80.72662513
Saskatchewan,Grassland,Fall,Commercial,-9.024130852,19.99,17.55422242,202.6453885
Ontario,Forest,Summer,Residential,-9.253759375,20.37068596,39.88979387,511.7938443
Prince Edward Island,Shrubland,Winter,Agricultural,12.94,19.74997474,24.86010109,576.9021075
Saskatchewan,Shrubland,Fall,Commercial,-1.523334562,19.70629467,48.96148029,674.6951491
New Brunswick,Wetland,Winter,Agricultural,0.037379547,20.39471736,58.23591894,344.7149605
Nova Scotia,Forest,Spring,Agricultural,12.94,19.99426831,35.40740779,394.28
Alberta,Shrubland,Summer,Agricultural,5.872898232,19.84095796,99.15888599,394.28
British Columbia,Forest,Spring,Residential,14.99994354,19.22102108,45.98430595,565.0520271
Newfoundland and Labrador,Shrubland,Spring,Commercial,12.94,20.72909784,56.07,239.7837076
Manitoba,Shrubland,Spring,Commercial,4.238089618,19.66152313,56.07,498.886797
Prince Edward Island,Grassland,Summer,Residential,12.94,20.76016393,69.55136623,265.1332142
Nova Scotia,Shrubland,Fall,Commercial,6.616740138,20.43081469,52.23359913,651.9284382
Quebec,Forest,Summer,Agricultural,22.14379877,20.76961908,87.05209243,229.6905839
Prince Edward Island,Grassland,Fall,Residential,3.010119391,20.91852166,13.68736879,348.8054602
Ontario,Shrubland,Spring,Agricultural,17.37620072,20.76286499,48.50516136,488.4562228
Alberta,Grassland,Spring,Industrial,12.81289287,19.99,56.07,623.051242
Ontario,Wetland,Fall,Commercial,13.03299565,19.43918748,19.94614985,543.0496152
Nova Scotia,Grassland,Fall,Industrial,11.90892469,19.52862196,60.23048135,688.9117604
Alberta,Wetland,Winter,Agricultural,1.698631045,19.64535898,54.77688378,140.5390499
Newfoundland and Labrador,Shrubland,Winter,Agricultural,-1.769296896,19.10725178,26.29442332,450.1626687
British Columbia,Forest,Fall,Industrial,7.302356135,20.71175748,19.44220756,394.28
Saskatchewan,Shrubland,Fall,Residential,18.84248723,20.29566038,27.37735059,334.5890413
Ontario,Forest,Summer,Industrial,-3.424797651,19.99,30.50320534,89.64629837
Prince Edward Island,Forest,Summer,Commercial,12.94,20.93987809,58.88137054,520.6126806
Prince Edward Island,Forest,Summer,Residential,-5.129747643,19.96565606,99.54866931,495.8679551
British Columbia,Grassland,Winter,Residential,5.684254588,19.65966488,18.2833396,603.4310156
New Brunswick,Shrubland,Winter,Industrial,12.94,20.65472143,91.0289617,355.2927213
Saskatchewan,Forest,Fall,Residential,31.81983053,19.99,11.27645147,552.3069445
Alberta,Wetland,Summer,Commercial,0.847112943,19.21659314,33.59164685,658.359112
Prince Edward Island,Grassland,Winter,Agricultural,27.86735422,19.68383797,48.11957161,604.0824883
Alberta,Grassland,Winter,Residential,-5.204345644,20.7510314,48.37119749,394.28
Quebec,Shrubland,Fall,Industrial,31.17368658,19.99,85.63164698,682.8270831
Ontario,Wetland,Winter,Industrial,2.156471274,20.90587366,30.33343612,747.0871748
Prince Edward Island,Shrubland,Winter,Commercial,21.1325139,20.49155383,47.03949472,170.0757276
Manitoba,Shrubland,Spring,Commercial,15.89636928,19.38136574,24.28401187,226.2492867
Alberta,Wetland,Fall,Agricultural,34.94808883,19.281335,71.83223054,394.28
Quebec,Grassland,Summer,Agricultural,27.95452794,19.15980529,56.07,736.8366442
British Columbia,Grassland,Fall,Residential,22.38107444,19.18965281,24.04687852,102.1885248
Saskatchewan,Forest,Fall,Industrial,-9.897482737,19.52096635,70.2899351,595.6499203
New Brunswick,Forest,Spring,Residential,25.84694717,19.34934806,56.07,403.5926294
Prince Edward Island,Forest,Fall,Industrial,-2.711733674,19.30847645,56.07,110.1789956
British Columbia,Forest,Winter,Residential,-1.305429146,19.28728004,70.58484609,799.8172234
Manitoba,Grassland,Fall,Agricultural,19.0172113,19.11025679,56.07,297.6887909
Prince Edward Island,Shrubland,Fall,Commercial,-4.526574403,20.76531971,51.21680764,263.4368291
Ontario,Wetland,Winter,Agricultural,16.55407247,20.3627288,74.26067854,394.28
Quebec,Grassland,Winter,Industrial,6.597199337,20.76891637,51.47857285,124.6174256
Newfoundland and Labrador,Shrubland,Fall,Agricultural,8.023732977,20.61659744,31.59791959,535.0098597
Ontario,Grassland,Winter,Commercial,11.78643222,19.10123041,55.77422177,543.3012456
New Brunswick,Shrubland,Winter,Residential,10.18299554,20.02063142,15.79402092,126.1879861
Prince Edward Island,Shrubland,Winter,Industrial,6.846373712,20.85739221,62.77782673,216.8090039
Saskatchewan,Wetland,Winter,Commercial,24.82576854,19.16978647,72.01780614,746.1563263
Saskatchewan,Grassland,Spring,Agricultural,23.93227275,19.1039292,93.34428635,41.12465714
Newfoundland and Labrador,Grassland,Fall,Commercial,26.86722788,20.79372964,52.13722046,454.7352842
Saskatchewan,Forest,Fall,Industrial,28.04721979,20.02102211,29.87329545,56.10565172
Manitoba,Forest,Winter,Industrial,12.94,19.86297242,36.66343581,562.1800467
Prince Edward Island,Grassland,Summer,Agricultural,17.63651387,19.39795578,56.07,787.9198645
British Columbia,Forest,Spring,Commercial,2.517355985,19.99,20.74112297,320.2998173
Saskatchewan,Shrubland,Fall,Residential,7.821933992,20.52659766,49.16974387,388.4412001
New Brunswick,Grassland,Summer,Industrial,-7.967311121,19.99,20.77806675,602.4138989
New Brunswick,Shrubland,Winter,Residential,27.03446753,19.41923115,56.4178036,40.11638886
Alberta,Wetland,Fall,Residential,2.01472179,20.68927204,26.86873435,221.2760802
Saskatchewan,Forest,Fall,Industrial,5.797304801,20.61019407,35.22565923,34.45035173
Ontario,Wetland,Fall,Agricultural,16.80810053,19.01633816,59.16735543,43.43017297
Manitoba,Grassland,Fall,Agricultural,20.72696305,19.92580283,19.23080484,209.0806619
British Columbia,Grassland,Fall,Agricultural,12.94,19.06678357,15.14791017,335.6684191
Saskatchewan,Forest,Fall,Industrial,12.94,19.40945378,63.75581852,411.8725863
Saskatchewan,Grassland,Spring,Agricultural,12.94,19.31810427,56.07,150.2329019
Saskatchewan,Forest,Spring,Residential,3.753641202,20.40240384,74.54714254,102.3178893
Newfoundland and Labrador,Wetland,Winter,Industrial,0.142884001,20.45151333,48.38937175,268.0982827
Saskatchewan,Shrubland,Summer,Industrial,14.37236475,19.56888566,79.2995384,793.4402294
Newfoundland and Labrador,Wetland,Summer,Industrial,29.40247582,19.13746584,23.28960203,394.28
Manitoba,Forest,Summer,Commercial,4.480327784,19.88316085,49.63762663,712.231717
Alberta,Forest,Spring,Agricultural,21.55333722,19.73479819,18.80267887,13.85069176
Alberta,Shrubland,Spring,Agricultural,34.03945203,19.45048742,73.97796442,463.3639985
Saskatchewan,Forest,Fall,Industrial,10.37913597,19.16601051,33.55905259,79.1726591
Newfoundland and Labrador,Grassland,Fall,Commercial,2.034808049,20.22910036,55.70671006,435.1947197
Alberta,Forest,Summer,Industrial,-4.207948586,19.25029597,68.63115766,322.6891383
Saskatchewan,Forest,Spring,Residential,-9.364322894,19.68359038,16.82150067,715.5908103
Quebec,Shrubland,Spring,Residential,3.47220272,20.97416024,38.94495697,662.8222727
Ontario,Forest,Fall,Industrial,27.99399681,19.99,51.52528451,38.49367987
Ontario,Forest,Winter,Residential,12.94,20.23557799,32.9117227,133.1828483
Saskatchewan,Wetland,Winter,Industrial,33.59063154,19.56595924,60.75744522,787.526881
Newfoundland and Labrador,Grassland,Winter,Industrial,-2.058275264,20.67849919,21.41199749,23.64902317
Nova Scotia,Wetland,Winter,Commercial,33.3635751,20.60937187,14.63487874,494.3759731
Manitoba,Grassland,Winter,Agricultural,10.15359738,19.94124757,93.47651613,770.0623536
Prince Edward Island,Shrubland,Fall,Industrial,21.62372098,19.55553306,68.64983438,787.6801594
New Brunswick,Shrubland,Summer,Industrial,-1.969679846,20.15778892,98.36900074,326.751843
Saskatchewan,Wetland,Winter,Agricultural,27.76854456,19.75743457,56.07,603.0017026
New Brunswick,Shrubland,Winter,Residential,-0.483063496,19.44619461,89.32854589,392.252359
Saskatchewan,Forest,Winter,Commercial,13.74826334,19.19034211,68.59364659,571.320065
Quebec,Wetland,Fall,Agricultural,13.27644519,20.37339825,79.21400207,595.0218962
Alberta,Shrubland,Fall,Residential,12.94,20.57424102,97.68679837,253.1419584
Saskatchewan,Forest,Summer,Residential,25.87570948,19.74894733,68.85449082,194.4875778
British Columbia,Forest,Spring,Industrial,-7.733520729,20.59250298,56.07,526.9487535
Ontario,Forest,Summer,Agricultural,27.75697648,20.90262713,15.05226013,666.8710165
Newfoundland and Labrador,Shrubland,Fall,Agricultural,-5.362274621,19.99,44.71935305,273.8598118
Ontario,Forest,Spring,Commercial,16.94769489,20.44914043,15.5821864,42.31651261
Saskatchewan,Wetland,Fall,Commercial,-7.430993442,20.86125395,89.57016543,679.6925843
Alberta,Wetland,Summer,Industrial,2.656734947,19.41942201,97.34886809,548.6218513
British Columbia,Grassland,Summer,Residential,23.38270478,19.99,56.07,186.8817426
Quebec,Grassland,Fall,Industrial,23.50236222,19.41011773,39.84334435,96.53538944
Ontario,Forest,Summer,Residential,10.28599105,19.99,83.12656198,515.0554774
Nova Scotia,Shrubland,Fall,Commercial,22.00660938,20.59484964,87.8184144,430.5602742
Newfoundland and Labrador,Wetland,Spring,Residential,-9.683350101,20.96283299,56.07,745.2041612
Prince Edward Island,Forest,Fall,Commercial,-4.898939027,19.99,57.78535621,714.4073914
Prince Edward Island,Wetland,Winter,Industrial,18.11533484,20.23749055,39.93596943,349.0811441
Newfoundland and Labrador,Wetland,Fall,Industrial,34.20397705,20.44549138,56.07,258.8216718
New Brunswick,Grassland,Fall,Industrial,12.94,19.59144389,56.07,272.8011927
British Columbia,Forest,Winter,Industrial,-0.030185041,19.99,68.57496264,518.2948703
Nova Scotia,Wetland,Summer,Industrial,18.48801067,19.99,94.64173975,394.28
Alberta,Wetland,Winter,Industrial,32.73134106,19.73287836,13.44850103,521.5719492
Quebec,Shrubland,Spring,Residential,10.46649529,20.35899025,49.35284203,13.06963742
Saskatchewan,Forest,Fall,Residential,33.43428757,19.9098351,80.92710405,565.4558171
Manitoba,Forest,Winter,Industrial,27.91014787,20.04920855,16.43317136,416.9460159
Nova Scotia,Forest,Spring,Commercial,26.50909971,19.37501235,70.85988213,581.9281077
Ontario,Grassland,Fall,Agricultural,-5.733703816,19.73099162,56.07,197.6281558
Ontario,Forest,Fall,Industrial,12.94,19.3275614,56.07,394.28
Quebec,Wetland,Fall,Residential,-3.848480976,20.15622671,39.38759821,394.28
Manitoba,Forest,Summer,Industrial,12.94,20.96514134,16.56491008,394.28
Prince Edward Island,Wetland,Fall,Agricultural,5.755132928,19.26192771,18.77887346,608.4306519
Nova Scotia,Grassland,Spring,Agricultural,10.36879676,20.30952055,67.18148763,394.28
Ontario,Forest,Fall,Commercial,31.34779632,19.22164099,38.27859874,6.030042083
Prince Edward Island,Shrubland,Fall,Commercial,32.58592569,19.22074592,29.4875776,561.1812228
Quebec,Forest,Summer,Industrial,0.155154606,20.94906116,13.4416512,394.28
Ontario,Wetland,Spring,Residential,2.360619209,20.70399578,62.92780799,405.2584199
Saskatchewan,Wetland,Summer,Agricultural,12.94,20.23232965,24.69140395,394.28
Saskatchewan,Grassland,Fall,Agricultural,22.46784318,20.17725096,63.22407097,202.4839498
Newfoundland and Labrador,Shrubland,Summer,Agricultural,18.44681321,19.99,63.07593646,518.9388767
Newfoundland and Labrador,Wetland,Fall,Industrial,10.70236866,19.31682065,71.88732377,357.9735638
Alberta,Wetland,Fall,Commercial,14.11855792,19.96075766,68.44415871,457.8158632
Manitoba,Grassland,Summer,Residential,4.321615192,19.12366576,77.18102136,133.4410522
Manitoba,Grassland,Spring,Agricultural,22.57091831,20.76528855,26.36216394,695.6719051
British Columbia,Forest,Spring,Industrial,13.65388048,20.6633481,83.53086843,394.28
Saskatchewan,Shrubland,Spring,Agricultural,-7.616979383,20.9486209,56.07,554.0299012
New Brunswick,Wetland,Winter,Industrial,0.42421615,19.45198654,39.93627807,375.8284388
Manitoba,Shrubland,Winter,Agricultural,-3.023386072,19.73457881,22.34093898,441.5006141
Manitoba,Forest,Summer,Industrial,11.33401896,19.17833686,41.32517283,114.2900785
British Columbia,Forest,Summer,Agricultural,26.84880674,20.51298527,56.07,86.01065501
British Columbia,Forest,Fall,Industrial,25.70178788,20.02807728,56.07,786.9977694
Saskatchewan,Wetland,Summer,Industrial,-3.871609251,19.65396517,48.79010294,324.6672218
Quebec,Forest,Fall,Commercial,5.611965122,19.78348812,42.18115884,732.5829858
